ml_label,name_en,name_ph,category,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,saturated_fat_g,polyunsaturated_fat_g,monounsaturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,potassium_mg,vitamin_a_mcg,vitamin_c_mg,calcium_mg,iron_mg,data_source
sinuglaw_pork,Grilled Pork Ceviche,Sinuglaw na Baboy,Main Dish,142.22,7.95,5.63,9.78,0.89,2.07,3.85,1.04,4.35,0,29.14,163.46,190.12,141.73,23.16,40.74,1.66,DOST_FNRI_MENU_GUIDE
milkfish_fried,Fried Milkfish,Pritong Bangus,Fish,188,23.6,0,10.4,0,0,3.5,2.2,4,0,67,106,374,85,0,116,1,DOST_FNRI_FCT
mackerel_fried,Fried Mackerel,Pritong Alumahan,Fish,221,21.6,0,14.9,0,0,4.24,3.66,4.97,0,121.6,117,401,70,0,202,2.1,DOST_FNRI_FCT
rice_well_milled,White Rice,Bigas na Puti,Rice,129,2.1,29.7,0.2,0.4,0.1,0.05,0.05,0.06,0,0,3,35,0,0,11,0.6,DOST_FNRI_FCT
egg_sunny,Sunny Side Up Egg,Itlog na Sunny Side Up,Egg,192,11.56,0.9,15.81,0,0.19,3.85,4.2,6.14,0,383,228,123,168,0,45,1.57,USDA_FNDDS
egg_boiled,Boiled Egg,Nilagang Itlog,Egg,155,12.6,1.12,10.6,0,1.12,3.27,1.41,4.08,0,373,124,126,149,0,50,1.19,USDA_FNDDS
chicken_wing,Rotisserie Chicken - Wing,Lechon Manok - Pakpak,Main Dish,257,23.4,0.6,18,0,0.6,4.63,2.18,7.33,0.16,129,579,285,26,0,33,0.93,USDA_FNDDS
chicken_thigh,Rotisserie Chicken - Thigh,Lechon Manok - Hita,Main Dish,226,22.5,0.12,15.1,0,0.12,3.93,2.04,6.45,0.07,127,335,255,20,0,16,0.95,USDA_FNDDS
chicken_drumstick,Rotisserie Chicken - Drumstick,Lechon Manok - Binti,Main Dish,206,25.6,0.12,11.5,0,0.12,2.86,1.52,4.75,0.07,149,392,279,17,0,22,1.02,USDA_FNDDS
chicken_breast,Rotisserie Chicken - Breast,Lechon Manok - Dibdib,Main Dish,175,26.4,0.09,7.67,0,0.09,1.96,0.94,3.13,0.05,90,329,276,11,0,16,0.51,USDA_FNDDS
galunggong_fried,Fried Galunggong,Pritong Galunggong,Fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USDA_FDC
egg_omelette,Egg Omelette,Tortang Itlog,Egg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USDA_FDC
egg_scrambled,Scrambled Egg,Tortang Itlog,Egg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USDA_FDC
linatan,Boiled Pork Stew,Linat-an na Baboy,Soup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USDA_FDC
humba_pork,Braised Pork,Humba,Main Dish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USDA_FDC
lawuy,Vegetable Stew,Law-Uy,Vegetable Dish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USDA_FDC
